player_name,team,opponent,prop_type,line,odds_type,our_probability,pp_implied_probability,edge,expected_value,ev_pct,individual_multiplier,confidence,multiplier_source,reasoning
Linus Ullmark,OTT,UNK,goalie_saves,26.5,demon,55.0%,50.0%,+5.0%,0.09967860131193507,+10.0%,2.0,20%,fallback_assumption,"Extrapolated from 25.5 (59.0%), normal distribution (mean=27.7, sd=9.7)"
Nathan MacKinnon,COL,UNK,shots,3.5,goblin,77.7%,70.7%,+6.9%,0.09825852875884866,+9.8%,1.414,20%,fallback_assumption,"Extrapolated from 2.5 (89.6%), normal distribution (mean=5.0, sd=2.0)"
Cole Caufield,MTL,UNK,points,1.5,demon,54.8%,50.0%,+4.8%,0.0962272727272726,+9.6%,2.0,20%,fallback_assumption,"Extrapolated from 0.5 (91.4%), exponential decay for +1.0 line (decay rate: 0.6)"
Brad Marchand,FLA,UNK,shots,3.5,demon,54.8%,50.0%,+4.8%,0.09583955941288336,+9.6%,2.0,20%,fallback_assumption,"Extrapolated from 2.5 (78.8%), normal distribution (mean=3.7, sd=1.5)"
Macklin Celebrini,SJ,UNK,shots,2.5,goblin,77.5%,70.7%,+6.7%,0.09543370478634827,+9.5%,1.414,20%,fallback_assumption,"Shots model: 3.6 SOG (std=1.4, confidence=77%) | Distance: +1.1 from 2.5 line | Underdog (GS: 1.10x)"
Frank Nazar,CHI,UNK,shots,1.5,goblin,77.4%,70.7%,+6.7%,0.09438736134550796,+9.4%,1.414,20%,fallback_assumption,"Extrapolated from 2.5 (34.0%), normal distribution (mean=2.1, sd=0.9)"
Kirill Kaprizov,MIN,UNK,toi,22.25,standard,63.0%,57.7%,+5.3%,0.09170744504659778,+9.2%,1.732,20%,fallback_assumption,Interpolated between 22.0 (66.3%) and 22.5 (59.8%)
Adrian Kempe,LA,UNK,points,1.5,demon,54.5%,50.0%,+4.5%,0.0904999999999998,+9.0%,2.0,20%,fallback_assumption,"Extrapolated from 0.5 (90.9%), exponential decay for +1.0 line (decay rate: 0.6)"
Zach Werenski,CBJ,UNK,shots,4.5,demon,54.5%,50.0%,+4.5%,0.08916000374027822,+8.9%,2.0,20%,fallback_assumption,"Extrapolated from 2.5 (88.0%), normal distribution (mean=4.7, sd=1.9)"
Jack Hughes,NJ,UNK,shots,2.5,goblin,76.9%,70.7%,+6.2%,0.08783037145682648,+8.8%,1.414,20%,fallback_assumption,"Shots model: 3.5 SOG (std=1.4, confidence=77%) | Distance: +1.0 from 2.5 line"
Jeremy Swayman,BOS,UNK,goalie_saves,28.5,demon,54.3%,50.0%,+4.3%,0.08672303939062509,+8.7%,2.0,20%,fallback_assumption,Interpolated between 27.5 (51.2%) and 29.5 (57.5%)
Ryan Nugent-Hopkins,EDM,UNK,points,0.5,goblin,76.7%,70.7%,+6.0%,0.084538,+8.5%,1.414,20%,fallback_assumption,"Points model: 1.13 PPG (std=0.34, confidence=77%) | Distance: +0.63 from 0.5 line"
Jack Hughes,NJ,UNK,points,1.5,demon,54.0%,50.0%,+4.0%,0.07945454545454522,+7.9%,2.0,20%,fallback_assumption,"Extrapolated from 0.5 (90.0%), exponential decay for +1.0 line (decay rate: 0.6)"
Connor McDavid,EDM,UNK,shots,2.5,goblin,76.2%,70.7%,+5.5%,0.07735748321256719,+7.7%,1.414,20%,fallback_assumption,"Shots model: 3.5 SOG (std=1.4, confidence=76%) | Distance: +1.0 from 2.5 line"
Evgeni Malkin,PIT,UNK,shots,1.5,goblin,76.1%,70.7%,+5.4%,0.07617997449225,+7.6%,1.414,20%,fallback_assumption,"Extrapolated from 2.5 (31.4%), normal distribution (mean=2.1, sd=0.8)"
Sidney Crosby,PIT,UNK,shots,1.5,goblin,76.1%,70.7%,+5.4%,0.07617997449225,+7.6%,1.414,20%,fallback_assumption,"Extrapolated from 2.5 (31.4%), normal distribution (mean=2.1, sd=0.8)"
Frederik Andersen,CAR,UNK,goalie_saves,21.5,standard,62.0%,57.7%,+4.3%,0.07467221167744253,+7.5%,1.732,20%,fallback_assumption,"Saves model: 25.4 saves (SV%=0.892, std=6.0, confidence=75%) | Distance: +3.9 saves from 21.5 line"
Trevor Zegras,PHI,UNK,points,1.5,demon,53.7%,50.0%,+3.7%,0.07349000000000006,+7.3%,2.0,20%,fallback_assumption,"Extrapolated from 0.5 (89.5%), exponential decay for +1.0 line (decay rate: 0.6)"
Sidney Crosby,PIT,UNK,toi,18.75,standard,61.9%,57.7%,+4.2%,0.07210057634250022,+7.2%,1.732,20%,fallback_assumption,Interpolated between 18.5 (66.9%) and 19.0 (56.9%)
Ryan Nugent-Hopkins,EDM,UNK,shots,1.5,goblin,75.7%,70.7%,+5.0%,0.07020469962596088,+7.0%,1.414,20%,fallback_assumption,"Extrapolated from 2.5 (30.6%), normal distribution (mean=2.1, sd=0.8)"
John Tavares,TOR,UNK,points,1.5,demon,53.2%,50.0%,+3.2%,0.06380804545454533,+6.4%,2.0,20%,fallback_assumption,"Extrapolated from 0.5 (88.7%), exponential decay for +1.0 line (decay rate: 0.6)"
Matthew Knies,TOR,UNK,points,1.5,demon,53.2%,50.0%,+3.2%,0.06380804545454533,+6.4%,2.0,20%,fallback_assumption,"Extrapolated from 0.5 (88.7%), exponential decay for +1.0 line (decay rate: 0.6)"
Lane Hutson,MTL,UNK,points,0.5,goblin,74.9%,70.7%,+4.2%,0.058893181818181706,+5.9%,1.414,20%,fallback_assumption,"Points model: 1.10 PPG (std=0.33, confidence=75%) | Distance: +0.60 from 0.5 line"
Cole Caufield,MTL,UNK,shots,2.5,goblin,74.6%,70.7%,+3.9%,0.05548061161920148,+5.5%,1.414,20%,fallback_assumption,"Shots model: 3.4 SOG (std=1.4, confidence=75%) | Distance: +0.9 from 2.5 line"
Ryan Donato,CHI,UNK,shots,2.5,demon,52.5%,50.0%,+2.5%,0.050514449262322625,+5.1%,2.0,20%,fallback_assumption,"Shots model: 2.6 SOG (std=1.0, confidence=53%) | Distance: +0.1 from 2.5 line"
Josh Morrissey,WPG,UNK,points,0.5,goblin,74.2%,70.7%,+3.5%,0.04915827386363647,+4.9%,1.414,20%,fallback_assumption,"Points model: 1.08 PPG (std=0.33, confidence=74%) | Distance: +0.58 from 0.5 line | Favorite (GS: 1.08x)"
Lane Hutson,MTL,UNK,shots,1.5,demon,52.4%,50.0%,+2.4%,0.047759561169472775,+4.8%,2.0,20%,fallback_assumption,"Extrapolated from 2.5 (5.9%), normal distribution (mean=1.5, sd=0.6)"
Matt Boldy,MIN,UNK,points,0.5,goblin,74.1%,70.7%,+3.4%,0.047420499999999866,+4.7%,1.414,20%,fallback_assumption,"Points model: 1.08 PPG (std=0.32, confidence=74%) | Distance: +0.58 from 0.5 line | Favorite (GS: 1.03x)"
Macklin Celebrini,SJ,UNK,shots,3.5,demon,52.2%,50.0%,+2.2%,0.044823281325909514,+4.5%,2.0,20%,fallback_assumption,"Extrapolated from 2.5 (77.5%), normal distribution (mean=3.6, sd=1.4)"
William Eklund,SJ,UNK,shots,3.5,demon,52.2%,50.0%,+2.2%,0.044823281325909514,+4.5%,2.0,20%,fallback_assumption,"Extrapolated from 2.5 (77.5%), normal distribution (mean=3.6, sd=1.4)"
Cale Makar,COL,UNK,shots,2.5,goblin,73.8%,70.7%,+3.1%,0.04339772129288755,+4.3%,1.414,20%,fallback_assumption,"Shots model: 3.4 SOG (std=1.3, confidence=74%) | Distance: +0.9 from 2.5 line | Favorite (GS: 1.13x)"
Tom Wilson,WSH,UNK,shots,1.5,goblin,73.0%,70.7%,+2.3%,0.03189974555474895,+3.2%,1.414,20%,fallback_assumption,"Extrapolated from 2.5 (25.9%), normal distribution (mean=2.0, sd=0.8)"
Leon Draisaitl,EDM,UNK,shots,2.5,goblin,72.9%,70.7%,+2.2%,0.03107006244305066,+3.1%,1.414,20%,fallback_assumption,"Shots model: 3.3 SOG (std=1.3, confidence=73%) | Distance: +0.8 from 2.5 line"
