player_name,team,opponent,prop_type,line,odds_type,our_probability,pp_implied_probability,edge,expected_value,ev_pct,payout_multiplier,reasoning
Artemi Panarin,NYR,UNK,shots,4.5,demon,31.4%,25.0%,+6.4%,0.25444931706712004,+25.4%,4.0,"Extrapolated from 2.5 (51.4%), -20% for +2.0 line"
Timo Meier,NJ,UNK,shots,2.5,goblin,61.8%,50.0%,+11.8%,0.23558115077309516,+23.6%,2.0,2.6 SOG/G
Leon Draisaitl,EDM,UNK,shots,5.5,demon,30.9%,25.0%,+5.9%,0.23481879122793625,+23.5%,4.0,"Extrapolated from 2.5 (60.9%), -30% for +3.0 line"
Artemi Panarin,NYR,UNK,shots,1.5,goblin,61.4%,50.0%,+11.4%,0.22722465853356,+22.7%,2.0,"Extrapolated from 2.5 (51.4%), +10% for -1.0 line"
Leon Draisaitl,EDM,UNK,shots,2.5,goblin,60.9%,50.0%,+10.9%,0.21740939561396821,+21.7%,2.0,2.9 SOG/G
Bryan Rust,PIT,UNK,shots,4.5,demon,30.3%,25.0%,+5.3%,0.21272529671967333,+21.3%,4.0,"Extrapolated from 2.5 (50.3%), -20% for +2.0 line"
Bryan Rust,PIT,UNK,shots,1.5,goblin,60.3%,50.0%,+10.3%,0.20636264835983664,+20.6%,2.0,"Extrapolated from 2.5 (50.3%), +10% for -1.0 line"
Jordan Kyrou,STL,UNK,shots,1.5,goblin,59.8%,50.0%,+9.8%,0.19584237119201475,+19.6%,2.0,"Extrapolated from 2.5 (49.8%), +10% for -1.0 line"
Jordan Kyrou,STL,UNK,shots,4.5,demon,29.8%,25.0%,+4.8%,0.19168474238402955,+19.2%,4.0,"Extrapolated from 2.5 (49.8%), -20% for +2.0 line"
Connor McDavid,EDM,UNK,shots,2.5,goblin,58.1%,50.0%,+8.1%,0.16180348797298683,+16.2%,2.0,2.8 SOG/G
Marco Rossi,MIN,UNK,shots,2.5,demon,28.7%,25.0%,+3.7%,0.14833511393788656,+14.8%,4.0,1.8 SOG/G
Evgeni Malkin,PIT,UNK,shots,3.5,demon,28.5%,25.0%,+3.5%,0.14058616490563658,+14.1%,4.0,"Extrapolated from 2.5 (38.5%), -10% for +1.0 line"
Connor McDavid,EDM,UNK,shots,5.5,demon,28.1%,25.0%,+3.1%,0.12360697594597347,+12.4%,4.0,"Extrapolated from 2.5 (58.1%), -30% for +3.0 line"
Ryan Donato,CHI,UNK,shots,1.5,goblin,54.8%,50.0%,+4.8%,0.09531733829178157,+9.5%,2.0,"Extrapolated from 2.5 (44.8%), +10% for -1.0 line"
Gabriel Vilardi,WPG,UNK,shots,3.5,demon,26.9%,25.0%,+1.9%,0.07605419590246187,+7.6%,4.0,"Extrapolated from 2.5 (36.9%), -10% for +1.0 line"
